x,value
-4.00,1.3213487086870033
-3.95,1.3827660696052657
-3.90,1.453982558740076
-3.85,1.536983345692378
-3.80,1.6343664372692073
-3.75,1.7495935576167696
-3.70,1.8873759708450077
-3.65,2.054288061160604
-3.60,2.2597826059468686
-3.55,2.5179519454038823
-3.50,2.8507634385455143
-3.45,3.2944423033608525
-3.40,3.9132648028720523
-3.35,4.83320672166983
-3.30,6.339317251315306
-3.25,9.242559793020618
-3.20,17.13087236151412
-3.15,118.94498755561308
-3.10,-24.049641133644634
-3.05,-10.933186624934198
-3.00,-7.086167405837978
-2.95,-5.251476200972695
-2.90,-4.179740038136774
-2.85,-3.478526903988635
-2.80,-2.9851802210792937
-2.75,-2.620126292466146
-2.70,-2.3398387390266397
-2.65,-2.118506987490671
-2.60,-1.9398590472922255
-2.55,-1.7931310670289013
-2.50,-1.6709215447359815
-2.45,-1.5679763968407445
-2.40,-1.4804655954495658
-2.35,-1.4055340174714026
-2.30,-1.3410124853489565
-2.25,-1.2852261251877422
-2.20,-1.2368638812039985
-2.15,-1.1948876148163163
-2.10,-1.1584675035092462
-2.05,-1.1269353257930166
-2.00,-1.0997501702894565
-1.95,-1.076472945063003
-1.90,-1.056747233961416
-1.85,-1.0402848185469586
-1.80,-1.0268546827605216
-1.75,-1.0162746767017203
-1.70,-1.0084052489136779
-1.65,-1.0031448305141948
-1.60,-1.0004265788586626
-1.55,-1.0002162825834866
-1.50,-1.00251130424949
-1.45,-1.0073404992477761
-1.40,-1.014765106295756
-1.35,-1.0248806610074637
-1.30,-1.0378200456329008
-1.25,-1.0537578582214346
-1.20,-1.0729163776964032
-1.15,-1.0955735167493503
-1.10,-1.1220733185231924
-1.05,-1.152839779351498
-1.00,-1.1883951057770403
-0.95,-1.2293839914675613
-0.90,-1.2766062134586336
-0.85,-1.3310609370132742
-0.80,-1.394007819405732
-0.75,-1.46705272448319
-0.70,-1.5522703269608333
-0.65,-1.6523834483439057
-0.60,-1.7710321966883669
-0.55,-1.913190039186479
-0.50,-2.085829642933551
-0.45,-2.2990327314886803
-0.40,-2.5679324555408263
-0.35,-2.9163207762102634
-0.30,-3.3838633618235514
-0.25,-4.041972501220881
-0.20,-5.033489547672187
-0.15,-6.6917324477227185
-0.10,-10.016686131634469
-0.05,-20.008335764527423
-0.00,-1.7115818061265544E14
0.05,20.008335764532095
0.10,10.016686131635636
0.15,6.691732447723235
0.20,5.033489547672476
0.25,4.041972501221066
0.30,3.3838633618236784
0.35,2.9163207762103562
0.40,2.567932455540897
0.45,2.2990327314887358
0.50,2.085829642933596
0.55,1.9131900391865155
0.60,1.7710321966883966
0.65,1.652383448343931
0.70,1.5522703269608549
0.75,1.4670527244832083
0.80,1.394007819405748
0.85,1.3310609370132878
0.90,1.2766062134586451
0.95,1.2293839914675717
1.00,1.1883951057770494
1.05,1.1528397793515055
1.10,1.122073318523199
1.15,1.095573516749356
1.20,1.0729163776964081
1.25,1.0537578582214386
1.30,1.037820045632904
1.35,1.0248806610074663
1.40,1.0147651062957581
1.45,1.0073404992477777
1.50,1.002511304249491
1.55,1.000216282583487
1.60,1.0004265788586624
1.65,1.0031448305141941
1.70,1.0084052489136766
1.75,1.0162746767017181
1.80,1.0268546827605187
1.85,1.0402848185469553
1.90,1.0567472339614117
1.95,1.076472945062998
2.00,1.0997501702894508
2.05,1.12693532579301
2.10,1.1584675035092382
2.15,1.1948876148163072
2.20,1.2368638812039883
2.25,1.2852261251877302
2.30,1.3410124853489427
2.35,1.4055340174713864
2.40,1.480465595449547
2.45,1.5679763968407225
2.50,1.6709215447359558
2.55,1.7931310670288718
2.60,1.9398590472921875
2.65,2.118506987490628
2.70,2.3398387390265825
2.75,2.620126292466074
2.80,2.9851802210791925
2.85,3.4785269039885
2.90,4.179740038136578
2.95,5.251476200972395
3.00,7.086167405837383
3.05,10.933186624932775
3.10,24.049641133637692
3.15,-118.94498755577595
3.20,-17.130872361517557
3.25,-9.242559793021654
3.30,-6.339317251315783
3.35,-4.833206721670082
3.40,-3.9132648028722206
3.45,-3.2944423033609667
3.50,-2.8507634385456075
3.55,-2.5179519454039485
3.60,-2.25978260594692
3.65,-2.0542880611606447
3.70,-1.887375970845041
3.75,-1.7495935576167958
3.80,-1.6343664372692275
3.85,-1.536983345692397
3.90,-1.4539825587400927
3.95,-1.3827660696052817
4.00,-1.3213487086870175
