x,value
-4.00,NaN
-3.95,NaN
-3.90,NaN
-3.85,NaN
-3.80,NaN
-3.75,NaN
-3.70,NaN
-3.65,NaN
-3.60,NaN
-3.55,NaN
-3.50,NaN
-3.45,NaN
-3.40,NaN
-3.35,NaN
-3.30,NaN
-3.25,NaN
-3.20,NaN
-3.15,NaN
-3.10,NaN
-3.05,NaN
-3.00,NaN
-2.95,NaN
-2.90,NaN
-2.85,NaN
-2.80,NaN
-2.75,NaN
-2.70,NaN
-2.65,NaN
-2.60,NaN
-2.55,NaN
-2.50,NaN
-2.45,NaN
-2.40,NaN
-2.35,NaN
-2.30,NaN
-2.25,NaN
-2.20,NaN
-2.15,NaN
-2.10,NaN
-2.05,NaN
-2.00,NaN
-1.95,NaN
-1.90,NaN
-1.85,NaN
-1.80,NaN
-1.75,NaN
-1.70,NaN
-1.65,NaN
-1.60,NaN
-1.55,NaN
-1.50,NaN
-1.45,NaN
-1.40,NaN
-1.35,NaN
-1.30,NaN
-1.25,NaN
-1.20,NaN
-1.15,NaN
-1.10,NaN
-1.05,NaN
-1.00,NaN
-0.95,NaN
-0.90,NaN
-0.85,NaN
-0.80,NaN
-0.75,NaN
-0.70,NaN
-0.65,NaN
-0.60,NaN
-0.55,NaN
-0.50,NaN
-0.45,NaN
-0.40,NaN
-0.35,NaN
-0.30,NaN
-0.25,NaN
-0.20,NaN
-0.15,NaN
-0.10,NaN
-0.05,NaN
-0.00,NaN
0.05,-1.8613515091669275
0.10,-1.430675869974725
0.15,-1.1787466995441438
0.20,-1.000000000000018
0.25,-0.8613531103488979
0.30,-0.7480703607752515
0.35,-0.6522912402598301
0.40,-0.5693235298070494
0.45,-0.49614080014536643
0.50,-0.4306766548992891
0.55,-0.37145709203937793
0.60,-0.3173938531493521
0.65,-0.2676605345400066
0.70,-0.2216146554698919
0.75,-0.17874696102458043
0.80,-0.13864691672520643
0.85,-0.10097871260657634
0.90,-0.06546418459338398
0.95,-0.03187032334928317
1.00,-3.3801205268998063E-15
1.05,0.030315040726606998
1.10,0.05921955842706809
1.15,0.0868389967001124
1.20,0.11328277965295752
1.25,0.13864691672519944
1.30,0.16301612063652807
1.35,0.18646550693396152
1.40,0.2090620049129608
1.45,0.23086547242304056
1.50,0.2519296944024011
1.55,0.27230315857162807
1.60,0.29202973252211073
1.65,0.3111492323071058
1.70,0.32969794624696774
1.75,0.34770891759797534
1.80,0.3652124678106614
1.85,0.3822364051208974
1.90,0.39880631210988243
1.95,0.41494577688063256
2.00,0.43067665489928036
2.05,0.4460190373437623
2.10,0.46099168543432495
2.15,0.4756119999855756
2.20,0.48989618124488676
2.25,0.5038593367689993
2.30,0.5175155774361052
2.35,0.5308782025737826
2.40,0.5439594167726706
2.45,0.5567708929455397
2.50,0.5693235298070387
2.55,0.581627578315204
2.60,0.593692691955034
2.65,0.6055279722294759
2.70,0.6171421423631008
2.75,0.6285430950073909
2.80,0.6397386104690054
2.85,0.6507359605910503
2.90,0.6615420376144804
2.95,0.6721633801160356
3.00,0.6826061967649675
3.05,0.6928765456148721
3.10,0.7029797638091554
3.15,0.7129213199843445
3.20,0.7227063054322558
3.25,0.7323395745017779
3.30,0.7418257590572508
3.35,0.7511692818490218
3.40,0.7603745443078289
3.45,0.7694452742816511
3.50,0.7783854820316835
3.55,0.7871988698616946
3.60,0.7958889846352544
3.65,0.8044592263442593
3.70,0.8129128560942056
3.75,0.8212530035532026
3.80,0.8294828971177142
3.85,0.837605018602202
3.90,0.8456223315862309
3.95,0.8535375058495092
4.00,0.8613531103488816
