x,value
-4.00,NaN
-3.95,NaN
-3.90,NaN
-3.85,NaN
-3.80,NaN
-3.75,NaN
-3.70,NaN
-3.65,NaN
-3.60,NaN
-3.55,NaN
-3.50,NaN
-3.45,NaN
-3.40,NaN
-3.35,NaN
-3.30,NaN
-3.25,NaN
-3.20,NaN
-3.15,NaN
-3.10,NaN
-3.05,NaN
-3.00,NaN
-2.95,NaN
-2.90,NaN
-2.85,NaN
-2.80,NaN
-2.75,NaN
-2.70,NaN
-2.65,NaN
-2.60,NaN
-2.55,NaN
-2.50,NaN
-2.45,NaN
-2.40,NaN
-2.35,NaN
-2.30,NaN
-2.25,NaN
-2.20,NaN
-2.15,NaN
-2.10,NaN
-2.05,NaN
-2.00,NaN
-1.95,NaN
-1.90,NaN
-1.85,NaN
-1.80,NaN
-1.75,NaN
-1.70,NaN
-1.65,NaN
-1.60,NaN
-1.55,NaN
-1.50,NaN
-1.45,NaN
-1.40,NaN
-1.35,NaN
-1.30,NaN
-1.25,NaN
-1.20,NaN
-1.15,NaN
-1.10,NaN
-1.05,NaN
-1.00,NaN
-0.95,NaN
-0.90,NaN
-0.85,NaN
-0.80,NaN
-0.75,NaN
-0.70,NaN
-0.65,NaN
-0.60,NaN
-0.55,NaN
-0.50,NaN
-0.45,NaN
-0.40,NaN
-0.35,NaN
-0.30,NaN
-0.25,NaN
-0.20,NaN
-0.15,NaN
-0.10,NaN
-0.05,NaN
-0.00,NaN
0.05,1.6756133191784746
0.10,1.2879133959118911
0.15,1.06112341487709
0.20,0.9002132648918352
0.25,0.7754014956919049
0.30,0.6734228618422899
0.35,0.5872012270546357
0.40,0.5125125935473388
0.45,0.44663252954489996
0.50,0.3877008376195763
0.55,0.3343906015919894
0.60,0.2857221568001728
0.65,0.2409515636809489
0.70,0.199500452548427
0.75,0.16091038537342828
0.80,0.12481179357238224
0.85,0.09090237656013879
0.90,0.0589317273462909
0.95,0.028690087835416187
1.00,3.0428293352483298E-15
1.05,-0.027290001787827346
1.10,-0.053310232037082794
1.15,-0.0781736167393381
1.20,-0.10197866092740943
1.25,-0.12481179357237596
1.30,-0.1467492741882076
1.35,-0.16785872278672967
1.40,-0.18820039000752598
1.45,-0.20782816068073756
1.50,-0.22679045272118373
1.55,-0.24513091541812
1.60,-0.26288903895921395
1.65,-0.2801006662837628
1.70,-0.29679846461911025
1.75,-0.3130121799428739
1.80,-0.3287691080270339
1.85,-0.34409428221439503
1.90,-0.35901073228390307
1.95,-0.3735396925587866
2.00,-0.3877008376195686
2.05,-0.40151225381113453
2.10,-0.4149908302328161
2.15,-0.4281522313287428
2.20,-0.44101104077649395
2.25,-0.45358085859904734
2.30,-0.4658743875961313
2.35,-0.4779035999988453
2.40,-0.4896794825415756
2.45,-0.5012125433352377
2.50,-0.5125125935473291
2.55,-0.5235888612262521
2.60,-0.5344500365672541
2.65,-0.5451043128640193
2.70,-0.5555595428790189
2.75,-0.5658228316818122
2.80,-0.5759011832076593
2.85,-0.5858011436661836
2.90,-0.595528917544118
2.95,-0.6050903909549772
3.00,-0.6144911530251789
3.05,-0.6237366572949296
3.10,-0.6328317083315196
3.15,-0.6417812290740921
3.20,-0.6505898027710753
3.25,-0.6592617993717312
3.30,-0.6678013885417795
3.35,-0.6762125516997509
3.40,-0.6844992510719797
3.45,-0.6926648425166666
3.50,-0.7007129361241343
3.55,-0.7086468647573463
3.60,-0.7164698213499372
3.65,-0.7241848666197127
3.70,-0.7317949362570983
3.75,-0.7393028476308413
3.80,-0.7467115069862624
3.85,-0.7540231484856612
3.90,-0.7612404399826733
3.95,-0.7683657848484068
4.00,-0.7754014956918901
