x,value
-4.00,-0.6536436208791401
-3.95,-0.6906510965728738
-3.90,-0.7259323033195677
-3.85,-0.7593990584233548
-3.80,-0.7909677113373017
-3.75,-0.8205593568748839
-3.70,-0.848100031337651
-3.65,-0.873520897386046
-3.60,-0.8967584160970021
-3.55,-0.9177545057782333
-3.50,-0.9364566871422884
-3.45,-0.952818214477501
-3.40,-0.9667981924879805
-3.35,-0.9783616785105951
-3.30,-0.9874797698534779
-3.25,-0.9941296760377383
-3.20,-0.9982947757618217
-3.15,-0.9999646584461301
-3.10,-0.9991351502540706
-3.05,-0.9958083245245011
-3.00,-0.9899924965894664
-2.95,-0.9817022029902194
-2.90,-0.9709581651434485
-2.85,-0.957787237548535
-2.80,-0.9422223406653001
-2.75,-0.9243023789862261
-2.70,-0.9040721422843578
-2.65,-0.8815821960790808
-2.60,-0.8568887535188825
-2.55,-0.8300535353464855
-2.50,-0.8011436156289682
-2.45,-0.7702312541073888
-2.40,-0.7373937155849428
-2.35,-0.7027130768051073
-2.30,-0.666276021302437
-2.25,-0.628173622738819
-2.20,-0.5885011172666881
-2.15,-0.547357665488204
-2.10,-0.5048461046053567
-2.05,-0.4610726913804908
-2.00,-0.41614683654971363
-1.95,-0.37018083135301927
-1.90,-0.32328956686465893
-1.85,-0.275590246825276
-1.80,-0.227202094693586
-1.75,-0.17824605556292084
-1.70,-0.12884449423738342
-1.65,-0.07912088876816714
-1.60,-0.029199522276039946
-1.55,0.020794827819393125
-1.50,0.07073720167807052
-1.45,0.12050276937385651
-1.40,0.16996714290423454
-1.35,0.2190066870954539
-1.30,0.26749882862601504
-1.25,0.31532236239609535
-1.20,0.36235775447714047
-1.15,0.4084874408844136
-1.10,0.45359612142571304
-1.05,0.49757104789179585
-1.00,0.5403023058681721
-0.95,0.5816830894638969
-0.90,0.6216099682639895
-0.85,0.6599831458816054
-0.80,0.6967067093455261
-0.75,0.7316888688730606
-0.70,0.7648421872841531
-0.65,0.7960837985489155
-0.60,0.8253356149096226
-0.55,0.8525245220594841
-0.50,0.8775825618903641
-0.45,0.9004471023526728
-0.40,0.9210609940028824
-0.35,0.9393727128473768
-0.30,0.9553364891256676
-0.25,0.9689124217106536
-0.20,0.9800665778412416
-0.15,0.9887710779360415
-0.10,0.9950041652780252
-0.05,0.998750260394966
-0.00,1.0
0.05,0.9987502603949665
0.10,0.9950041652780264
0.15,0.9887710779360432
0.20,0.9800665778412438
0.25,0.9689124217106565
0.30,0.955336489125671
0.35,0.9393727128473809
0.40,0.921060994002887
0.45,0.9004471023526778
0.50,0.8775825618903697
0.55,0.8525245220594903
0.60,0.8253356149096291
0.65,0.7960837985489226
0.70,0.7648421872841606
0.75,0.7316888688730685
0.80,0.6967067093455344
0.85,0.6599831458816141
0.90,0.6216099682639987
0.95,0.5816830894639065
1.00,0.5403023058681818
1.05,0.49757104789180584
1.10,0.4535961214257235
1.15,0.4084874408844241
1.20,0.36235775447715124
1.25,0.31532236239610656
1.30,0.2674988286260266
1.35,0.21900668709546556
1.40,0.1699671429042463
1.45,0.12050276937386806
1.50,0.07073720167808228
1.55,0.020794827819405004
1.60,-0.029199522276028178
1.65,-0.07912088876815515
1.70,-0.12884449423737165
1.75,-0.1782460555629095
1.80,-0.22720209469357422
1.85,-0.2755902468252647
1.90,-0.3232895668646478
1.95,-0.3701808313530084
2.00,-0.4161468365497025
2.05,-0.4610726913804808
2.10,-0.5048461046053474
2.15,-0.5473576654881942
2.20,-0.5885011172666785
2.25,-0.6281736227388108
2.30,-0.6662760213024286
2.35,-0.7027130768050991
2.40,-0.7373937155849357
2.45,-0.7702312541073812
2.50,-0.8011436156289615
2.55,-0.8300535353464786
2.60,-0.8568887535188765
2.65,-0.8815821960790746
2.70,-0.904072142284353
2.75,-0.9243023789862217
2.80,-0.9422223406652965
2.85,-0.9577872375485315
2.90,-0.9709581651434458
2.95,-0.9817022029902172
3.00,-0.9899924965894651
3.05,-0.9958083245244997
3.10,-0.9991351502540711
3.15,-0.9999646584461297
3.20,-0.9982947757618235
3.25,-0.99412967603774
3.30,-0.9874797698534792
3.35,-0.9783616785105977
3.40,-0.9667981924879832
3.45,-0.9528182144775041
3.50,-0.9364566871422926
3.55,-0.9177545057782377
3.60,-0.8967584160970072
3.65,-0.8735208973860518
3.70,-0.848100031337657
3.75,-0.8205593568748899
3.80,-0.7909677113373079
3.85,-0.7593990584233619
3.90,-0.7259323033195755
3.95,-0.6906510965728831
4.00,-0.653643620879149
