x,value
-4.00,-1.1578212824306375
-3.95,-1.0471106579384826
-3.90,-0.947424651137108
-3.85,-0.8567631601273199
-3.80,-0.77355609003476
-3.75,-0.6965508507713644
-3.70,-0.6247330749769073
-3.65,-0.5572696083039128
-3.60,-0.49346672985208306
-3.55,-0.4327390000421848
-3.50,-0.37458564008593637
-3.45,-0.31857232366827437
-3.40,-0.2643169008266906
-3.35,-0.21147800059293403
-3.30,-0.15974574763656368
-3.25,-0.10883402549533122
-3.20,-0.05847385444568497
-3.15,-0.008407545062253
-3.10,0.04161665418608981
-3.05,0.09184964585594302
-3.00,0.1425465428726694
-2.95,0.1939719057771198
-2.90,0.24640539387174765
-2.85,0.30014809239860085
-2.80,0.3555298316021896
-2.75,0.41291789429178527
-2.70,0.4727276289388405
-2.65,0.5354356557724929
-2.60,0.60159661297281
-2.55,0.6718647582021837
-2.50,0.7470222975299732
-2.45,0.8280171687845262
-2.40,0.916014289803323
-2.35,1.0124663626819925
-2.30,1.1192136417870557
-2.25,1.238627616255929
-2.20,1.3738230567865906
-2.15,1.5289797578131754
-2.10,1.7098465429072243
-2.05,1.9245606717312964
-2.00,2.18503986325827
-1.95,2.5094754673588042
-1.90,2.927097514195695
-1.85,3.4880595882908816
-1.80,4.286261674350697
-1.75,5.520379924978804
-1.70,7.696602142753262
-1.65,12.599264795431605
-1.60,34.232532764876154
-1.55,-48.078482441300245
-1.50,-14.10141994506605
-1.45,-8.238092752509095
-1.40,-5.797883715341652
-1.35,-4.455221759826349
-1.30,-3.6021024480941843
-1.25,-3.0095696739234814
-1.20,-2.5721516221553546
-1.15,-2.2344969487690896
-1.10,-1.9647596572550818
-1.05,-1.7433153099861174
-1.00,-1.5574077246562255
-0.95,-1.3983825892882802
-0.90,-1.2601582175641295
-0.85,-1.1383327132049512
-0.80,-1.0296385570401594
-0.75,-0.9315964599398462
-0.70,-0.8422883804614251
-0.65,-0.760204399133072
-0.60,-0.6841368083414907
-0.55,-0.6131052132880777
-0.50,-0.5463024898437794
-0.45,-0.48305506562084394
-0.40,-0.42279321873930836
-0.35,-0.36502849483068844
-0.30,-0.3093362496096555
-0.25,-0.25534192122104593
-0.20,-0.20271003550867883
-0.15,-0.15113521805819394
-0.10,-0.10033467208545369
-0.05,-0.05004170837554465
-0.00,-5.842548667089886E-15
0.05,0.050041708375532935
0.10,0.10033467208544188
0.15,0.151135218058182
0.20,0.20271003550866673
0.25,0.2553419212210335
0.30,0.3093362496096428
0.35,0.36502849483067523
0.40,0.42279321873929465
0.45,0.48305506562082956
0.50,0.5463024898437642
0.55,0.6131052132880616
0.60,0.6841368083414737
0.65,0.7602043991330536
0.70,0.8422883804614051
0.75,0.9315964599398245
0.80,1.0296385570401354
0.85,1.1383327132049248
0.90,1.2601582175640993
0.95,1.3983825892882453
1.00,1.5574077246561855
1.05,1.7433153099860708
1.10,1.9647596572550252
1.15,2.2344969487690203
1.20,2.5721516221552667
1.25,3.009569673923363
1.30,3.602102448094017
1.35,4.455221759826101
1.40,5.797883715341239
1.45,8.238092752508294
1.50,14.10141994506369
1.55,48.078482441272754
1.60,-34.23253276488997
1.65,-12.599264795433523
1.70,-7.696602142753975
1.75,-5.520379924979166
1.80,-4.286261674350931
1.85,-3.488059588291036
1.90,-2.927097514195807
1.95,-2.50947546735889
2.00,-2.18503986325834
2.05,-1.9245606717313495
2.10,-1.7098465429072676
2.15,-1.5289797578132143
2.20,-1.373823056786624
2.25,-1.2386276162559569
2.30,-1.1192136417870815
2.35,-1.012466362682016
2.40,-0.9160142898033434
2.45,-0.8280171687845459
2.50,-0.7470222975299908
2.55,-0.6718647582022004
2.60,-0.601596612972826
2.65,-0.5354356557725075
2.70,-0.4727276289388546
2.75,-0.41291789429179865
2.80,-0.355529831602203
2.85,-0.3001480923986136
2.90,-0.24640539387175991
2.95,-0.1939719057771313
3.00,-0.14254654287268156
3.05,-0.09184964585595509
3.10,-0.04161665418610181
3.15,0.008407545062241492
3.20,0.05847385444567312
3.25,0.10883402549531883
3.30,0.15974574763655144
3.35,0.21147800059292246
3.40,0.2643169008266785
3.45,0.3185723236682623
3.50,0.3745856400859225
3.55,0.43273900004217125
3.60,0.49346672985206896
3.65,0.557269608303898
3.70,0.6247330749768919
3.75,0.6965508507713488
3.80,0.7735560900347443
3.85,0.8567631601273014
3.90,0.947424651137087
3.95,1.0471106579384564
4.00,1.1578212824306096
